"Reference","MPN","LCSC","DNP","Status"
"C6","C3216C0G2J103JT000N","C342714","No","SELECTED; QUALIFICATION PENDING"
"C7","C3216C0G2J103JT000N","C342714","No","SELECTED; QUALIFICATION PENDING"
"D7","BAV21W-7-F","C155214","No","SELECTED; QUALIFICATION PENDING"
"D8","BAV21W-7-F","C155214","No","SELECTED; QUALIFICATION PENDING"
"C8","C3216C0G2J103JT000N","C342714","No","SELECTED; QUALIFICATION PENDING"
"R1","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_OV1","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_BL1","1206W4F1005T5E","C26119","No","SELECTED; QUALIFICATION PENDING"
"R2","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_OV2","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_BL2","1206W4F1005T5E","C26119","No","SELECTED; QUALIFICATION PENDING"
"R3","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_OV3","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_BL3","1206W4F1005T5E","C26119","No","SELECTED; QUALIFICATION PENDING"
"R4","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_OV4","FRG2512F3305TS","C5126202","No","SELECTED; QUALIFICATION PENDING"
"R_BL4","1206W4F1005T5E","C26119","No","SELECTED; QUALIFICATION PENDING"
"R5","PTFR0603B412KP9","C47115896","No","SELECTED; QUALIFICATION PENDING"
"C9","CL10C101JB8NNNC","C14858","No","SELECTED; QUALIFICATION PENDING"
"R_OVBOT","RT0603BRD07402KL","C705774","No","SELECTED; QUALIFICATION PENDING"
"C_OV","CL10C100JB8NNNC","C1634","No","SELECTED; QUALIFICATION PENDING"
"R_A1","CRHV1206AF2M49FKEF","","No","EXTERNAL SOURCING; QUOTE REQUIRED"
"R_A2","CRHV1206AF2M49FKEF","","No","EXTERNAL SOURCING; QUOTE REQUIRED"
"J2","10207101009","C142864","Yes","DNP AT JLC"
"J3","10207101009","C142864","Yes","DNP AT JLC"
"GM1","","","No","OWNED TUBE; SIMULATION REPRESENTATION"
"R_K","0603WAF1003T5E","C25803","No","SELECTED; QUALIFICATION PENDING"
"R_PROTECT","0603WAF1003T5E","C25803","No","SELECTED; QUALIFICATION PENDING"
"Q1","MMBT3904LT1G","C81464","No","SELECTED; QUALIFICATION PENDING"
"D_NEG","1N4148W","C81598","No","SELECTED; QUALIFICATION PENDING"
"R_COL","0603WAF4702T5E","C25819","No","SELECTED; QUALIFICATION PENDING"
"R_OUT","0603WAF1001T5E","C21190","No","SELECTED; QUALIFICATION PENDING"
